,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Braised Short Rib,Braised Short Rib with a Red Wine Reduction and Roasted Mushrooms and Roasted Pearl Onions over Wild Rice,"Slow braised short rib finished with a rich red wine reduction, served with roasted mushrooms and roasted pearl onions over wild rice for a classic, deeply savory plate with an elegant, steakhouse inspired finish.",Dairy Free,Gluten Free,617,61,24,8,40
Chicken,Butter Chicken,Butter Chicken with a Creamy Tikka Masala Sauce and Roasted Cauliflower and Roasted Eggplant over Cardamom Basmati Rice,"Tender butter chicken finished with a creamy tikka masala sauce, served with roasted cauliflower and roasted eggplant over cardamom basmati rice for a warm, aromatic plate with a rich, comforting finish.",Dairy (Cream),Gluten Free,707,58,36,6,43
Chicken 2,Basil Pesto Chicken,Blackened chicken breast over a basil pesto hummus with charred broccoli and roasted sweet potato and pickled red onions,"Seasoned blackened chicken breast layered over a creamy basil pesto hummus with charred broccoli, roasted sweet potato, and pickled red onions for a fresh, herbaceous plate with a bright, Mediterranean finish.",Dairy Free,Gluten Free,608,62,24,10,35
Beef,Teriyaki Steak,Seared steak with a teriyaki reduction and charred zucchini and roasted rainbow carrots over jasmine rice,"Seared steak finished with a rich teriyaki reduction, charred zucchini, and roasted rainbow carrots over jasmine rice for a savory, umami forward plate with a clean, glossy finish.",Dairy Free,Gluten Free,734,58,27,4,65
Seafood,Blackened Salmon,Blackened Salmon with a Maple Honey Dijon Reduction and Roasted Broccoli and Roasted Beets over Tri-color Quinoa,"Blackened salmon finished with a maple honey dijon reduction, served with roasted broccoli and roasted beets over tri-color quinoa for a sweet and savory seafood plate with earthy depth and a refined finish.",Dairy Free,Gluten Free,653,54,30,8,40
Seafood 2,Garlic Butter Shrimp,Garlic herb shrimp with a lemon garlic butter and roasted cauliflower and zucchini over orzo,"Garlic herb shrimp with a lemon garlic butter and roasted cauliflower and zucchini over orzo for a buttery, garlic forward plate with a bright lemon finish.",Dairy (Butter),Gluten (Orzo),558,53,23,5,36
Pasta,Buffalo Chicken Mac n Cheese,Buffalo chicken breast with a cheddar cheese sauce and scallions over elbow macaroni,"Buffalo chicken breast with a cheddar cheese sauce and scallions over elbow macaroni for a creamy, comforting pasta with a spicy buffalo finish.",Dairy (cheese sauce),Gluten (pasta),729,61,35,3,42
Veg,Chickpea Tikka Masala,Seared tofu in a creamy coconut tikka masala with roasted cauliflower and chickpeas over basmati rice,"Crispy seared tofu simmered in a creamy coconut tikka masala with roasted cauliflower and chickpeas over basmati rice for a warm, aromatic plate with a bold, comforting finish.",Dairy Free,Gluten Free,695,41,31,12,63
Oats,Chocolate Overnight Oats,Creamy chocolate overnight oats finished with fresh raspberries.,Creamy chocolate overnight oats finished with fresh raspberries.,Dairy (Milk),Gluten Free,305,20,9,15,36
Chia,Mango Chia Pudding,A creamy mango chia pudding layered with coconut cream and topped with fresh mango.,A creamy mango chia pudding layered with coconut cream and topped with fresh mango.,Dairy (Mascarpone),Gluten Free,436,22,26,11,30
Chia 2,Biscoff Cookie Butter Chia,Creamy yogurt chia sweetened with Biscoff cookie butter and topped with crushed Biscoff cookies.,Creamy yogurt chia sweetened with Biscoff cookie butter and topped with crushed Biscoff cookies.,Dairy (Yogurt),Gluten (Biscoff),385,24,19,11,29
Wellness Shots,Wellness Shots,"Four 2oz wellness shots: Immunity, Endurance, Purify, Clarity","Bundle of four 2oz wellness shots — Immunity, Endurance, Purify, and Clarity — cold-pressed daily and made with fresh ginger, turmeric, lemon, and seasonal botanicals.",Dairy Free,Gluten Free,,,,,
Date Balls,Date Ball Collection,A box of 5 date balls in 3 flavors,"A curated box of 5 date balls in 3 signature flavors — each bite a dense, naturally sweetened blend of dates, seeds, and seasonal spices, designed as the perfect on-the-go snack.",Dairy Free,Gluten Free,,,,,
