,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Filet Mignon,Filet Mignon Steak with a Wild Mushroom Sauce and Honey Glazed Rainbow Carrots and Rosemary Garlic Baby Potatoes,"Filet mignon steak dry brined and crusted with thyme, garlic, and black pepper, finished with a rich wild mushroom sauce of cremini and shiitake, served with honey glazed rainbow carrots and rosemary garlic baby potatoes for a refined, steakhouse inspired plate with a deeply savory finish.",Dairy (Butter),Gluten Free,728,51,42,6,36
Chicken,Blackened Chicken,Blackened Chicken with a Honey Sriracha Glaze and Charred Broccoli and Roasted Bell Peppers over Basmati Rice,"Bold blackened chicken finished with a sweet and spicy honey sriracha glaze, served with charred broccoli and roasted bell peppers over fluffy basmati rice for a balanced sweet heat plate with a fresh, vibrant finish.",Dairy Free,Gluten Free,632,51,22,4,59
Chicken 2,Lemon Herb Chicken with Whipped Feta,"Pan Roasted Chicken Breast with a Whipped Lemon Garlic Feta and Charred Sweet Potato, Roasted Broccoli, House Pickled Vegetables, and Dried Cranberries","Lemon and herb marinated pan roasted chicken breast finished with a bright herb oil, served over a whipped lemon garlic feta with charred sweet potato, roasted broccoli, house pickled vegetables, and dried cranberries for a clean, Mediterranean inspired plate with a fresh, citrus finish.",Dairy (Feta),Gluten Free,518,53,21,6,28
Beef,Korean Beef Bibimbap,"Pear Marinated Flank Steak with a House Gochujang Sauce and Roasted Zucchini, Sautéed Shiitake Mushrooms, and Pickled Cucumber over Calrose Rice","Pear marinated flank steak roasted at high heat and sliced thin against the grain, finished with a house gochujang sauce, served over short grain calrose rice with roasted zucchini, sautéed shiitake mushrooms, and quick pickled cucumber for a savory, Korean inspired plate with a balanced umami finish.",Dairy Free,Gluten Free,644,57,21,3,56
Seafood,Lemon Caper Salmon,Pan Seared Salmon with a Lemon Caper Dill Sauce and Roasted Broccoli and Roasted Beets over Lemon Herb Quinoa,"Pan seared salmon finished with a bright lemon caper dill sauce, served with roasted broccoli and roasted beets over fluffy lemon herb quinoa for a clean, Mediterranean inspired plate with a bright, herbaceous finish.",Dairy (Yogurt),Gluten Free,595,53,28,7,32
Seafood 2,Honey Chipotle Shrimp,Honey Chipotle Shrimp with a Tahini Green Goddess Dressing and Charred Corn and Charred Broccoli over Cilantro Lime Rice,"Honey chipotle marinated shrimp seared and finished with a creamy tahini green goddess dressing, served with charred corn and charred broccoli over bright cilantro lime rice for a smoky, sweet heat plate with a fresh, herbaceous finish.",Dairy Free,Gluten Free,590,44,21,5,56
Pasta,Hot Honey Mac and Cheese,Hot Honey Chicken Breast with a Hot Honey Sauce over Creamy Mac and Cheese,"Tender hot honey marinated chicken breast finished with a sweet and spicy hot honey sauce, served over rich and creamy mac and cheese for an indulgent, comfort forward plate with a bold, sweet heat finish.",Dairy (Cheese),Gluten (Pasta),789,55,29,2,77
Vegetarian,Thai Coconut Curry Bowl,Oven Roasted Tofu in a Thai Coconut Curry with Roasted Bell Peppers and Roasted Broccoli over Jasmine Rice,"Oven roasted tofu in a rich Thai coconut curry, served with roasted bell peppers and roasted broccoli over fluffy jasmine rice with shredded purple cabbage and pickled red onion for a warm, fragrant plate with a creamy, aromatic finish.",Dairy Free,Gluten Free,687,46,34,6,49
Broth,Golden Broth,Our golden high protein and collagen rich turmeric and coconut milk bone broth slow simmered for 24 hours,Our golden turmeric and coconut milk bone broth slow simmered for 24 hours with fresh ginger and warming spices.,Dairy Free,Gluten Free,432,36,29,,7
Chia,Tiramisu Chia Pudding,Tiramisu chia pudding with a sweet tiramisu style cream topped with a light cocoa dusting,"Creamy vanilla chia pudding layered with a lightly sweet tiramisu style cream, finished with a light cocoa dusting for a rich, dessert inspired treat.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
