,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Balsamic Fig Short Ribs,"Braised Short Ribs with a Balsamic Fig Glaze and Caramelized Pearl Onions and Roasted Wild Mushrooms over Roasted Baby Potatoes","Tender braised short ribs finished with a sweet balsamic fig glaze, served with caramelized pearl onions and roasted wild mushrooms over roasted baby potatoes for a rich, French-inspired plate with a bold, savory finish.",Dairy Free,Gluten Free,747,54,40,6,44
Chicken,Peri-Peri Chicken,"Peri Peri Chicken with a Peri Peri Glaze and Fire Roasted Sweet Corn and Saffron Roasted Cauliflower over Turmeric Rice","Bold peri peri chicken finished with a peri peri glaze, served with fire roasted sweet corn and saffron roasted cauliflower over turmeric rice for a vibrant, layered plate with a warm and savory finish.",Dairy Free,Gluten Free,696,60,27,5,53
Chicken 2,Lemon Herb Chicken,"Lemon Herb Chicken with a Roasted Red Pepper and Pomegranate Whipped Feta and Sautéed Lacinato Kale and Roasted Bell Peppers and Pickled Cucumbers over Roasted Sweet Potatoes","Lemon herb roasted chicken breast served over a smoky roasted red pepper and pomegranate whipped feta with sautéed lacinato kale, roasted bell peppers, and quick-pickled cucumbers over roasted sweet potatoes for a bright, sun-warmed plate with a sweet, smoky finish.",Dairy (Feta),Gluten Free,536,63,20,8,26
Beef,Cast Iron Steak,"Cast Iron Steak with a Chimichurri and Roasted Sweet Plantains and Pickled Red Onions over Cilantro Lime Rice","Marinated skirt steak seared in cast iron and finished with butter, garlic, and thyme, sliced and served with a bright Argentine chimichurri, roasted sweet plantains, and pickled red onions over cilantro lime rice for a vibrant, steakhouse-inspired plate with a fresh, herbaceous finish.",Dairy Free,Gluten Free,765,56,31,4,66
Seafood,Green Goddess Salmon Bowl,"Pan Seared Salmon with a Tahini Green Goddess Dressing and Sautéed Lacinato Kale and Roasted Golden Beets and Pickled Red Onion over Apricot Farro","Pan seared salmon finished with a creamy, herbal tahini green goddess dressing, served with sautéed lacinato kale, roasted golden beets, and pickled red onion over apricot farro for a fresh, garden-forward plate with a nutty, sun-ripened finish.",Dairy Free,Gluten (Farro),711,56,37,10,39
Seafood 2,Garlic Butter Shrimp,"Garlic Butter Shrimp with a Lemon Garlic Butter Emulsion and Roasted Cauliflower and Roasted Zucchini over Orzo Pasta","Tender garlic butter shrimp finished with a lemon garlic butter emulsion, served with roasted cauliflower and roasted zucchini over orzo pasta for a bright, buttery seafood plate with a smooth, savory finish.",Dairy Free,Gluten (Pasta),531,51,21,3,34
Pasta,Beef Bolognese,Beef Bolognese with a Rich Tomato Sofrito Sauce over Pappardelle,"Slow-simmered ground beef bolognese with a rich tomato sofrito sauce, served over pappardelle for a hearty, classic Italian plate with a deep, comforting finish.",Dairy Free,Gluten (Pasta),608,46,29,5,41
Veg,Thai Coconut Curry Bowl,"Oven Roasted Tofu in a Thai Coconut Curry with Roasted Bell Peppers and Roasted Broccoli over Jasmine Rice","Oven roasted tofu in a rich Thai coconut curry, served with roasted bell peppers, roasted broccoli, and shredded purple cabbage over fluffy jasmine rice for a warm, fragrant plate with a creamy, aromatic finish.",Dairy Free,Gluten Free,602,37,28,7,51
Broth,Ginger Miso Bone Broth,A dense high protein and collagen rich ginger miso bone broth slow simmered for 24 hours,"A dense, high protein, and collagen rich ginger miso bone broth slow simmered for 24 hours with fresh ginger, white miso, and warming spices.",Dairy Free,Gluten Free,419,41,26,,6
Broth 2,Daily Glow Broth,"Clarified lemon ginger bone broth with sea salt, white pepper, and fresh herbs. Designed for daily sipping, warm or chilled.","Our lightest bone broth yet. A clarified lemon ginger bone broth with sea salt, white pepper, and fresh herbs, designed for daily sipping, warm or chilled.",Dairy Free,Gluten Free,75,10,1,,2
Oats,Chocolate Overnight Oats,Chocolate overnight oats with fresh raspberries,"Premium rolled oats steeped overnight in organic milk with rich cocoa, lightly sweetened with organic maple syrup. Topped with fresh raspberries.",Dairy (Milk),Gluten Free,380,23,10,17,41
Chia,Vanilla Chia Pudding,Vanilla chia pudding with fresh blackberries and blueberries,"A creamy vanilla chia pudding sweetened with maple syrup and topped with fresh blackberries and blueberries.",Dairy (Yogurt),Gluten Free,373,24,13,14,41
Chia 2,Tiramisu Chia Pudding,Tiramisu chia pudding with a sweet tiramisu style cream topped with a light cocoa dusting,"Creamy vanilla chia pudding layered with a lightly sweet tiramisu style cream, finished with a light cocoa dusting for a rich, dessert inspired treat.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
Wellness Shots,Wellness Shots,"Four 2oz wellness shots: Immunity, Endurance, Purify, Clarity","Bundle of four 2oz wellness shots — Immunity, Endurance, Purify, and Clarity — cold-pressed daily and made with fresh ginger, turmeric, lemon, and seasonal botanicals.",Dairy Free,Gluten Free,,,,,
Date Balls,Date Ball Collection,A box of 5 date balls in 3 flavors,"A curated box of 5 date balls in 3 signature flavors — each bite a dense, naturally sweetened blend of dates, seeds, and seasonal spices, designed as the perfect on-the-go snack.",Dairy Free,Gluten Free,,,,,
