,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Smash Burger Bowl,"Seasoned Ground Beef with a Smoky Special Burger Sauce and Caramelized Onions, Apple Cider Cabbage Slaw, and Roasted Sweet Potato Wedges","Seasoned ground beef finished with a smoky special burger sauce, served with caramelized onions, a crisp apple cider cabbage slaw, and roasted sweet potato wedges for a bold, craveable plate with a nostalgic, American finish.",Dairy (Yogurt),Gluten Free,765,53,46,7,36
Chicken,Basil Pesto Chicken,"Blackened Chicken Breast over a Basil Pesto Hummus with Charred Broccoli, Pickled Red Onions, and Wild Rice","Seasoned blackened chicken breast layered over a creamy basil pesto hummus, served with charred broccoli, pickled red onions, and wild rice for a fresh, herbaceous plate with a bright, Mediterranean finish.",Dairy Free,Gluten Free,524,65,14,7,34
Chicken 2,Lemon Herb Chicken with Whipped Feta,"Pan Roasted Chicken Breast with a Whipped Lemon Garlic Feta and Sautéed Lacinato Kale, Charred Sweet Potato, House Pickled Vegetables, and Dried Cranberries","Lemon and herb marinated pan roasted chicken breast finished with a bright herb oil, served over a whipped lemon garlic feta with sautéed lacinato kale, charred sweet potato, house pickled vegetables, and dried cranberries for a clean, Mediterranean inspired plate with a fresh, citrus finish.",Dairy (Feta),Gluten Free,628,65,27,7,31
Beef,Rosemary Garlic Steak,Rosemary Garlic Steak with a Red Wine Reduction and Roasted Mushrooms and Pickled Red Onions over Toasted Brown Rice,"Rosemary garlic marinated steak finished with a rich red wine reduction, served with roasted mushrooms and pickled red onions over toasted brown rice for a savory, deeply flavored plate with a refined, steakhouse finish.",Dairy Free,Gluten Free,613,62,26,3,33
Seafood,Blackened Salmon,Blackened Salmon with a Maple Honey Dijon Reduction and Roasted Broccoli and Roasted Beets over Tri-color Quinoa,"Blackened salmon finished with a maple honey dijon reduction, served with roasted broccoli and roasted beets over tri-color quinoa for a sweet and savory seafood plate with earthy depth and a refined finish.",Dairy Free,Gluten Free,653,54,30,8,40
Seafood 2,Honey Chipotle Shrimp,Honey Chipotle Shrimp with a Tahini Green Goddess Dressing and Charred Corn and Charred Broccoli over Cilantro Lime Rice,"Honey chipotle marinated shrimp seared and finished with a creamy tahini green goddess dressing, served with charred corn and charred broccoli over bright cilantro lime rice for a smoky, sweet heat plate with a fresh, herbaceous finish.",Dairy Free,Gluten Free,627,47,22,7,60
Pasta,Vodka Pasta,Blackened Chicken Breast over Luxurious Shell Pasta with a Dairy-Free Vodka Cream Sauce and Fresh Basil,"Tender blackened chicken breast layered over luxurious shell pasta and finished with a silky dairy-free vodka cream sauce made from San Marzano tomatoes and coconut milk, topped with fresh basil for a rich, indulgent plate with a bright, classic Italian-American finish.",Dairy Free,Gluten (Pasta),694,56,27,5,56
Veg,Buffalo Cauliflower Bowl,Crispy Buffalo Cauliflower and Crispy Tofu with a Tangy Buffalo Glaze and Roasted Rainbow Carrots over Herbed Quinoa,"Crispy buffalo cauliflower and crispy tofu finished with a tangy buffalo glaze, served with roasted rainbow carrots over herbed quinoa for a bold, comforting plate with a vibrant, plant forward finish.",Dairy Free,Gluten Free,683,40,37,12,47
Broth,Classic Bone Broth,Our classic high protein and collagen rich chicken bone broth slow simmered for 24 hours,Our classic chicken bone broth slow simmered for 24 hours with fresh herbs and spices.,Dairy Free,Gluten Free,422,41,26,,6
Broth 2,Daily Glow Broth,"Clarified lemon ginger bone broth with sea salt, white pepper, and fresh herbs. Designed for daily sipping, warm or chilled.","Our lightest bone broth yet. A clarified lemon ginger bone broth with sea salt, white pepper, and fresh herbs, designed for daily sipping, warm or chilled.",Dairy Free,Gluten Free,75,10,1,,2
Oats,Classic Overnight Oats,"Premium rolled oats in organic milk, lightly sweetened with organic maple syrup. Topped with fresh blackberries and blueberries.","Premium rolled oats steeped overnight in organic milk, lightly sweetened with organic maple syrup. Topped with fresh blackberries and blueberries.",Dairy (Milk),Gluten (Oats),440,26,11,18,49
Chia,Strawberry Chia Pudding,Vanilla chia pudding with a strawberry mascarpone cream and fresh strawberries,"Creamy vanilla chia pudding layered with a lightly sweet strawberry mascarpone cream, finished with fresh strawberries.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
Chia 2,Chocolate Chia Pudding,Vanilla chia pudding with a chocolate mascarpone cream and fresh raspberries,"Creamy vanilla chia pudding layered with a lightly sweet chocolate mascarpone cream, finished with fresh raspberries.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
Wellness Shots,Wellness Shots,"Four 2oz wellness shots: Immunity, Endurance, Purify, Clarity","Bundle of four 2oz wellness shots — Immunity, Endurance, Purify, and Clarity — cold-pressed daily and made with fresh ginger, turmeric, lemon, and seasonal botanicals.",Dairy Free,Gluten Free,,,,,
Date Balls,Date Ball Collection,A box of 5 date balls in 3 flavors,"A curated box of 5 date balls in 3 signature flavors — each bite a dense, naturally sweetened blend of dates, seeds, and seasonal spices, designed as the perfect on-the-go snack.",Dairy Free,Gluten Free,,,,,
