,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Smash Burger Bowl,"Seasoned Ground Beef with a Smoky Special Burger Sauce and Caramelized Onions, Apple Cider Cabbage Slaw, and Roasted Sweet Potato Wedges","Seasoned ground beef finished with a smoky special burger sauce, served with caramelized onions, a crisp apple cider cabbage slaw, and roasted sweet potato wedges for a bold, craveable plate with a nostalgic, American finish.",Dairy (Yogurt),Gluten Free,716,52,42,6,33
Chicken,Miso Garlic Chicken,Miso Garlic Chicken with a White Miso Glaze and Charred Broccoli and Roasted Mushrooms over Jasmine Rice,"Tender miso garlic chicken finished with a savory white miso glaze, served with charred broccoli and roasted mushrooms over jasmine rice for a rich, umami forward plate with a warm, savory finish.",Dairy Free,Gluten Free,576,52,22,5,41
Chicken 2,Basil Pesto Chicken,"Blackened Chicken Breast over a Basil Pesto Hummus with Charred Broccoli and Pickled Red Onions, Roasted Baby Potatoes","Seasoned blackened chicken breast layered over a creamy basil pesto hummus, served with charred broccoli, pickled red onions, and roasted baby potatoes for a fresh, herbaceous plate with a bright, Mediterranean finish.",Dairy Free,Gluten Free,484,53,16,8,32
Beef,Rosemary Garlic Steak,Rosemary Garlic Steak with a Red Wine Reduction and Roasted Mushrooms and Pickled Red Onions over Toasted Brown Rice,"Rosemary garlic marinated steak finished with a rich red wine reduction, served with roasted mushrooms and pickled red onions over toasted brown rice for a savory, deeply flavored plate with a refined, steakhouse finish.",Dairy Free,Gluten Free,588,58,24,4,34
Seafood,Blood Orange Salmon,Seared Salmon with a Blood Orange Glaze and Roasted Beets over Roasted Sweet Potatoes,"Seared salmon finished with a bright blood orange glaze, served with roasted beets over roasted sweet potatoes for a light, citrus forward plate with a vibrant, refreshing finish.",Dairy Free,Gluten Free,544,47,26,7,30
Seafood 2,Seven Spice Shrimp,Seven Spice Shrimp with a Smoky Chipotle Sauce and Charred Corn and Charred Bell Peppers over Cilantro Lime Rice,"Seven spice shrimp topped with a smoky chipotle sauce, served with charred corn and charred bell peppers over cilantro lime rice for a smoky, spice forward plate with a bright, Latin finish.",Dairy (Yogurt),Gluten Free,502,50,11,6,49
Pasta,Vodka Pasta,Blackened Chicken Breast over Luxurious Shell Pasta with a Dairy-Free Vodka Cream Sauce and Fresh Basil,"Tender blackened chicken breast layered over luxurious shell pasta and finished with a silky dairy-free vodka cream sauce made from San Marzano tomatoes and coconut milk, topped with fresh basil for a rich, indulgent plate with a bright, classic Italian-American finish.",Dairy Free,Contains Gluten,677,56,22,5,55
Vegetarian,Buffalo Cauliflower Bowl,Crispy Buffalo Cauliflower and Crispy Tofu with a Tangy Buffalo Glaze and Roasted Rainbow Carrots over Herbed Quinoa,"Crispy buffalo cauliflower and crispy tofu finished with a tangy buffalo glaze, served with roasted rainbow carrots over herbed quinoa for a bold, comforting plate with a vibrant, plant forward finish.",Dairy Free,Gluten Free,641,40,33,12,46
Broth,Classic Bone Broth,Our classic high protein and collagen rich chicken bone broth slow simmered for 24 hours,Our classic chicken bone broth slow simmered for 24 hours with fresh herbs and spices.,Dairy Free,Gluten Free,419,41,26,,6
Chia,Vanilla Chia Pudding,Vanilla chia pudding with fresh blackberries and blueberries,A creamy vanilla chia pudding sweetened with maple syrup and topped with fresh blackberries and blueberries.,Dairy (Yogurt),Gluten Free,373,24,13,14,41
