,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Beef Bourguignon,"Slow-braised beef chuck with pearl onions, cremini mushrooms, and a red wine reduction. Whipped Yukon Gold purée. Roasted carrots.","Slow-braised beef chuck with pearl onions and cremini mushrooms in a red wine reduction. Served over whipped Yukon Gold purée with roasted carrots, for a rich, rustic French stew with a deeply savory finish.",Dairy Free,Gluten Free,615,48,21,6,39
Chicken,Koji-Cured Chicken with Stone-Fruit Gastrique,"Shio-koji-cured chicken thigh with a stone-fruit gastrique. Wild rice. Roasted golden beets and lacinato kale.","Chicken thigh cured 24 hours in shio-koji — a traditional Japanese paste of rice fermented with koji culture — for unmatched tenderness and deep umami. Served over wild rice with roasted golden beets and sautéed lacinato kale. Finished with our stone-fruit gastrique, a bright, tangy-sweet French-style sauce made by reducing sherry vinegar, honey, and seasonal stone fruit purée.",Dairy Free,Gluten Free,670,51,23,9,66
Chicken 2,Mediterranean Chickpea Chicken Bowl with Green Tahini,"Pan-seared chicken breast over a dairy-free green tahini bed. Roasted chickpeas, Brussels sprouts, pickled red onions.","Pan-seared chicken breast layered over a bed of our dairy-free green tahini — a vibrant, herb-packed sauce blended with parsley, dill, mint, garlic, lemon, and EVOO. Served with roasted chickpeas, roasted Brussels sprouts, and bright pickled red onions, for a fresh, herbaceous Mediterranean bowl with a tangy finish.",Dairy Free,Gluten Free,593,58,25,10,34
Beef,Coffee-Crusted Bavette Steak with Bone Marrow Butter,"Espresso-and-smoked-paprika-crusted bavette steak with a bone marrow butter. Toasted brown rice. Charred green beans and corn.","Bavette steak rubbed with an espresso-and-smoked-paprika crust — the espresso deepens the crust's bold, savory richness without any sweetness. Seared and sliced, served over toasted brown rice with charred green beans and charred corn. Finished with a dollop of our bone marrow butter, European butter whipped with shallots, garlic, and fresh herbs.",Dairy (Butter),Gluten Free,660,58,32,5,39
Seafood,Pomegranate Salmon,"Salmon marinated in pomegranate molasses, sumac, and Aleppo pepper. Saffron cauliflower rice. Roasted zucchini.","Salmon marinated in pomegranate molasses, sumac, and Aleppo pepper, then gently roasted. Served over saffron cauliflower rice with roasted zucchini. Finished with our whipped pomegranate sauce, for a bright, tart-sweet seafood plate with a complex, Middle Eastern finish.",Dairy Free,Gluten Free,570,47,36,7,15
Seafood 2,Red Curry Shrimp,"Shrimp marinated in lemongrass and Thai red curry. Jasmine rice. Roasted bell peppers and broccoli.","Shrimp marinated in lemongrass and Thai red curry, then seared. Served over jasmine rice with roasted bell peppers and broccoli. Finished with our thick Thai red curry sauce, for a fragrant, deeply spiced bowl with a creamy, aromatic finish.",Dairy Free,Gluten Free,535,46,15,4,52
Pasta,Marry Me Chicken Pasta,"Pan-seared chicken breast over rigatoni in a sun-dried tomato cream sauce.","Pan-seared chicken breast over rigatoni in a sun-dried tomato cream sauce with garlic, Parmigiano, Italian herbs, and a hint of red pepper, for a rich, indulgent Italian-American pasta with a deeply savory finish.",Dairy (Cream + Parmigiano),Gluten (Pasta),785,59,37,3,50
Vegetarian,Smoky Tempeh Banh Mi Bowl,"Lemongrass-marinated tempeh over brown jasmine rice with pickled carrots, cucumber ribbons, and fresh cilantro. Tahini-sriracha drizzle.","Smoky lemongrass-marinated tempeh over brown jasmine rice with quick-pickled carrots, cucumber ribbons, and fresh cilantro. Tahini-sriracha drizzle on the side, for a bright, savory Vietnamese-inspired bowl with a smoky, umami finish.",Dairy Free,Gluten Free,620,41,30,11,47
Chia,Mango Chia Pudding,"A creamy mango chia pudding layered with coconut cream and topped with fresh mango.","A creamy mango chia pudding layered with coconut cream and topped with fresh mango.",Dairy (Mascarpone),Gluten Free,436,22,26,11,30
Chia 2,Earl Grey Chia Pudding,"Chia pudding steeped in Earl Grey tea with macerated strawberries and house granola.","Chia pudding steeped in Earl Grey tea for a bright bergamot note, layered with fresh-macerated strawberries and our house almond-coconut granola.",Dairy Free,Gluten Free,380,18,14,11,45
Broth,Golden Broth,"Anti-inflammatory turmeric bone broth with ginger, black pepper, and warming spices.","Our anti-inflammatory turmeric bone broth with ginger, black pepper, and warming spices.",Dairy Free,Gluten Free,90,9,2,,5
Broth 2,Daily Glow Broth,"Clarified lemon ginger bone broth with sea salt, white pepper, and fresh herbs. Designed for daily sipping, warm or chilled.","Our lightest bone broth yet. A clarified lemon ginger bone broth with sea salt, white pepper, and fresh herbs, designed for daily sipping, warm or chilled.",Dairy Free,Gluten Free,75,10,1,,2
