,Dish Name ,Short Description,Long Description,Dairy,Gluten,Calories,Protein (g),Fat (g),Fiber (g),Net Carbs (g)
Chef Special,Saigon Hot Honey Chicken,Saigon hot honey chicken breast with a sticky chili honey glaze and charred pineapple and roasted snap peas over jasmine rice,"Saigon hot honey chicken breast finished with a sticky chili honey glaze, charred pineapple, and roasted snap peas over jasmine rice for a sweet, fiery plate with a bright, citrusy finish.",Dairy Free,Gluten Free,713,64,16,6,78
Chicken,Tuscan Chicken,Tuscan chicken thigh with a creamy sun dried tomato sauce and roasted zucchini and cremini mushrooms over basmati rice,"Tuscan style chicken thigh finished with a creamy sun dried tomato sauce, roasted zucchini, and cremini mushrooms over basmati rice for a rich, savory plate with a warm, Italian finish.",Dairy (Cream),Gluten Free,752,57,36,4,50
Chicken 2,Basil Pesto Chicken,Blackened chicken breast over a basil pesto hummus with charred broccoli and roasted sweet potato and pickled red onions,"Seasoned blackened chicken breast layered over a creamy basil pesto hummus with charred broccoli, roasted sweet potato, and pickled red onions for a fresh, herbaceous plate with a bright, Mediterranean finish.",Dairy Free,Gluten Free,608,62,24,10,35
Beef,Teriyaki Steak,Seared steak with a teriyaki reduction and charred zucchini and roasted rainbow carrots over jasmine rice,"Seared steak finished with a rich teriyaki reduction, charred zucchini, and roasted rainbow carrots over jasmine rice for a savory, umami forward plate with a clean, glossy finish.",Dairy Free,Gluten Free,752,58,27,4,69
Seafood,Seven Spice Shrimp,Seven spice shrimp with a smoky chipotle sauce and charred corn and bell peppers over cilantro lime rice,"Seven spice shrimp topped with a smoky chipotle sauce, charred corn, and bell peppers over cilantro lime rice for a smoky, spice forward plate with a bright, Latin finish.",Dairy (Yogurt),Gluten Free,590,52,14,5,64
Seafood 2,Green Goddess Salmon Bowl,Salmon with a tahini green goddess dressing and roasted yellow beets and lacinato kale over apricot farro,"Salmon finished with a creamy tahini green goddess dressing, roasted yellow beets, and lacinato kale over apricot farro for a fresh, vibrant bowl with a bright, herbaceous finish.",Dairy Free,Gluten (Farro),731,49,38,11,47
Pasta,Beef Bolognese,Beef bolognese with a rich tomato sofrito over pappardelle,"Slow simmered beef bolognese with a rich tomato sofrito over pappardelle for a hearty, classic Italian plate with a deep, comforting finish.",Dairy Free,Gluten (Pasta),609,48,27,5,43
Veg,Chickpea Tikka Masala,Seared tofu in a creamy coconut tikka masala with roasted cauliflower and chickpeas over basmati rice,"Crispy seared tofu simmered in a creamy coconut tikka masala with roasted cauliflower and chickpeas over basmati rice for a warm, aromatic plate with a bold, comforting finish.",Dairy Free,Gluten Free,713,41,31,12,67
Oats,Chocolate Overnight Oats,Creamy chocolate overnight oats finished with fresh raspberries.,Creamy chocolate overnight oats finished with fresh raspberries.,Dairy (Milk),Gluten Free,305,20,9,15,36
Chia,Vanilla Chia Pudding,Vanilla chia pudding with fresh blackberries and blueberries,"A creamy vanilla chia pudding sweetened with maple syrup and topped with fresh blackberries and blueberries.",Dairy (Yogurt),Gluten Free,373,24,13,14,41
Chia 2,Tiramisu Chia Pudding,Tiramisu chia pudding with a sweet tiramisu style cream topped with a light cocoa dusting,"Creamy vanilla chia pudding layered with a lightly sweet tiramisu style cream, finished with a light cocoa dusting for a rich, dessert inspired treat.",Dairy (Yogurt),Gluten Free,320,27,11,10,29
Wellness Shots,Wellness Shots,"Four 2oz wellness shots: Immunity, Endurance, Purify, Clarity","Bundle of four 2oz wellness shots — Immunity, Endurance, Purify, and Clarity — cold-pressed daily and made with fresh ginger, turmeric, lemon, and seasonal botanicals.",Dairy Free,Gluten Free,,,,,
Date Balls,Date Ball Collection,A box of 5 date balls in 3 flavors,"A curated box of 5 date balls in 3 signature flavors — each bite a dense, naturally sweetened blend of dates, seeds, and seasonal spices, designed as the perfect on-the-go snack.",Dairy Free,Gluten Free,,,,,
